Token,Frequency
শাস্ত্র,1
▁আন্দোলন,1
▁ঔরসে,1
▁শিক্ষক,1
▁রাম,1
▁রণ,1
ম্প,1
স্কু,1
▁কালে,1
জের,1
▁অধ্যাপক,1
▁পুস্তক,1
▁অধ্যয়ন,1
▁৮,1
▁আরব,1
োপ,1
দেবের,1
▁উনি,1
দী,1
গোবিন্দ,1
লক,1
▁ভক্তি,1
সাগর,1
▁বাজে,1
▁নির্,1
▁ভয়ে,1
▁সী,1
▁কলিকাতা,1
▁বিষম,1
▁ঠাঁই,1
্লা,1
▁ব্যাপারটা,1
▁হচ্ছে,1
▁৯,1
▁পাড়া,1
ষ্ট্র,1
ভবন,1
টাই,1
▁দ্বার,1
▁আঘাত,1
▁খুঁজ,1
সভা,1
▁দরজা,1
▁মাথায়,1
▁ঢেলে,1
পদ,1
▁পাঠালে,1
▁জিজ্ঞাসা,1
▁১০,1
▁দুটি,1
▁নিতান্ত,1
▁এঁরা,1
হর,1
▁হরে,1
দৃষ্ট,1
▁পশ্চাত,1
▁দৃষ্টি,1
▁গু,1
▁আক্,1
কেল,1
্লি,1
▁পদ,1
▁ঢুকে,1
▁ভোর,1
দিনে,1
▁কুল,1
োর,1
▁বাতাস,1
ত্তু,1
ঙ্গ,1
▁বান্দা,1
▁বয়েসে,1
▁নাক,1
ক্ষ,1
্না,1
▁আসি,1
▁শ্রাদ্ধ,1
▁ভাবনা,1
▁কাচা,1
▁খোলা,1
▁রয়েছে,1
গী,1
োজ,1
▁মিন,1
যে,1
▁তুলসী,1
▁বাঘ,1
▁১১,1
▁নিকটে,1
▁আসিয়া,1
মীর,1
▁বেড়া,1
▁করবে,1
▁আসবে,1
▁বলকে,1
▁পারব,1
▁পে,1
▁বলবে,1
▁বিপদ,1
▁ঘাট,1
▁উঠবে,1
খানে,1
▁কাঁদ,1
▁নিকট,1
ড়িয়া,1
ুম,1
▁যন্ত্রণা,1
▁জাজ,1
▁কপালে,1
থাই,1
▁লাভের,1
▁করবেন,1
▁ঘোর,1
▁দায়ে,1
▁সম্মুখে,1
স্কি,1
সান,1
▁পিছনের,1
▁রো,1
▁ফির,1
▁আড়ালে,1
▁পড়ল,1
▁পলায়ন,1
▁আলোক,1
ল্লো,1
যা,1
▁অন্যদিকে,1
▁গমন,1
▁ক্রোধ,1
▁ইফ,1
▁হিম,1
ৈ,1
▁মারি,1
▁ওয়া,1
স্তে,1
▁হামা,1
ীয়া,1
বাবা,1
রাজ,1
▁১৩,1
চু,1
পরা,1
▁ব্ল,1
মারা,1
বক,1
▁মালা,1
▁পরিধান,1
হাম,1
▁হুয়া,1
